id,name,province,nearest_city,elevation_m,basecamp_name,basecamp_access,basecamp_gps_lat,basecamp_gps_lng,summit_gps_lat,summit_gps_lng,distance_one_way_km,distance_round_trip_km,ascent_time_hours,descent_time_hours,num_pos,pos_breakdown,elevation_gain_segments,trail_type,difficulty,risk_level,key_hazards,critical_points,distance_from_surabaya_km,travel_time_from_surabaya_hours,recommended_transport,registration_method,permit_required,access_status,entry_fee_idr,water_sources,camping_area,emergency_shelter,signal_coverage,toilet_warung,environmental_condition,common_issues,reforestation_activity,csr_potential,recommended_conservation,best_time_months,sunrise_sunset_rating,unique_selling_point,crowd_level,minimum_gear,water_requirement_liters,emergency_contact,common_accident_types,offline_map_available,data_reliability,last_updated
merbabu,Merbabu,Central Java,Magelang / Boyolali / Salatiga,3145,Selo / Thekelan / Cuntel / Suwanting / Wekas,Selo: from Boyolali/Magelang via Selo pass (between Merapi-Merbabu); Wekas: from Salatiga,Unknown,Unknown,Unknown,Unknown,~9 (via Selo),~18,7-9,5-6,5 (via Selo),Selo>Pos 1 (New Selo): ~2km/1h; Pos 1>Pos 2: ~1.5km/1h; Pos 2>Pos 3 (Sabana 1): ~2km/1.5h; Pos 3>Sabana 2: ~1.5km/1h; Sabana 2>Summit: ~2km/1.5h,Selo(~1600m)>Summit(3145m): ~1545m total,Pine forest (lower); savanna grassland (middle); alpine rocky terrain (upper),Intermediate,Medium,Cold (-5°C at summit); wind exposure on savanna; grassland fires in dry season; fog/low visibility; altitude sickness,Savanna section: fully exposed to wind/sun/storms; summit push: steep and rocky,350,7-8,Car to Selo; or train to Solo + car,Online via SIMAKSI (tfrmbg.org); quota limited,Yes (TN Gunung Merbabu),open,"20000 weekday / 30000 weekend (domestic, 2024 estimate)",Springs near Pos 1-2; none on savanna; carry 3L+,Sabana 1 (capacity 50+ tents); Sabana 2 (smaller); summit area (exposed),Shelter at some pos stations,Telkomsel intermittent up to Pos 2; none on savanna,Selo basecamp has warung/toilet; composting toilet at Sabana 1,Moderate,Savanna fires (major risk); trash at camping areas; trail erosion,Yes — TN Merbabu reforestation and fire prevention program,High,Fire prevention and rapid response; savanna ecosystem education; pack-in-pack-out enforcement; camping area waste management,May-October (fire season: Aug-Oct — be cautious),5,Stunning savanna landscape at 2700m+; face-to-face view of Merapi; multiple routes with distinct landscapes; one of Java's most photogenic mountains,High,3-season tent; 0°C sleeping bag; trekking poles; windproof jacket; rain gear; 3L water,3-4,TN Merbabu ranger post; BASARNAS Boyolali,Hypothermia; dehydration on savanna; lightning strikes; grassland fire exposure,Yes,High,2024
merapi,Merapi,Central Java / Yogyakarta,Sleman (Yogyakarta) / Magelang,2930,New Selo (North) / Balerante / Kinahrejo (South),New Selo: from Boyolali (1h); Kinahrejo: from Yogyakarta (1.5h),Unknown,Unknown,Unknown,Unknown,~6 (via New Selo),~12,5-7,3-5,3 (Pasar Bubrah typical turnaround),New Selo>Pos 1: ~2km/1.5h; Pos 1>Pos 2 (Pasar Bubrah): ~2km/1.5h; Pasar Bubrah>New summit area: ~2km/2h,New Selo(~1600m)>Pasar Bubrah(~2600m): ~1000m; Pasar Bubrah>Summit(~2930m): ~330m,Volcanic rock and sand; lava flow fields; minimal vegetation on upper slopes,Advanced,High,Most active volcano in Indonesia; pyroclastic flows; volcanic bombs; toxic gas; unstable new lava formations; summit shape changes after every eruption,Above Pasar Bubrah: active zone. Summit area is NOT guaranteed accessible — closures based on BPPTKG status.,350,7-8,Car to New Selo; or train to Yogyakarta + car,Basecamp registration; mandatory BPPTKG activity level check; guide required above Pasar Bubrah,Yes (TNGM — Taman Nasional Gunung Merapi); closures during elevated alert,conditional,Unknown (varies with status),None on trail — volcanic terrain; carry all water,Pasar Bubrah (common staging area); camping NOT recommended above,Bunkers along evacuation routes (lower slopes),Intermittent at lower slopes; none above Pos 2,New Selo basecamp only,Recovering (post-2010 eruption regrowth),Volcanic hazard management; illegal summit attempts during closures; rapidly changing terrain,Yes — TNGM post-eruption reforestation; community replanting programs,High,Post-eruption ecosystem recovery monitoring; community disaster preparedness; reforestation of blast zones; volcano education center support,May-October (check BPPTKG status: Level I/Normal only),4,Indonesia's most active volcano; dramatic post-eruption landscape; living geology lesson; cultural significance (Javanese cosmology); view of 2010 devastation zone,High,Helmet; gas mask; sturdy boots; headlamp; warm jacket; check BPPTKG status before departure,3,BPPTKG monitoring center; BASARNAS Yogyakarta; TNGM post,Volcanic gas inhalation; rockfall; falls on loose volcanic rock; hypothermia; burns from hot ground near fumaroles,Yes,High,2024
sumbing,Sumbing,Central Java,Magelang / Wonosobo / Temanggung,3371,Garung (Wonosobo) / Cepit (Magelang) / Bowongso,Garung: from Wonosobo (1h); Cepit: from Magelang (2h),Unknown,Unknown,Unknown,Unknown,~8 (via Garung),~16,8-10,5-7,4,Basecamp>Pos 1: ~2km/1.5h; Pos 1>Pos 2 (sabana): ~2km/2h; Pos 2>Pos 3: ~2km/2h; Pos 3>Summit: ~2km/2.5h,Garung(~1400m)>Summit(3371m): ~1970m total,Tobacco/vegetable farms (lower); forest; open ridge; steep scramble near summit,Advanced,Medium,Very steep final ascent; cold (-5°C); wind exposure; fog and low visibility; long ascent with significant elevation gain,"Summit push from Pos 3: very steep, loose soil and rock; exposed to weather",400,8-9,Car; or train to Semarang/Yogyakarta + car,Basecamp registration (offline),Yes (Perhutani),open,"10000-15000 (estimate, 2024)",Springs near Pos 1; unreliable above Pos 2,Sabana area (Pos 2); Pos 3 area,None,Intermittent at lower pos; none above Pos 2,Basecamp only,Moderate,Agricultural encroachment (tobacco farming advancing uphill); trail erosion; trash at camping areas,Unknown,High,Agricultural boundary enforcement; reforestation of encroached areas; sustainable farming partnership with local communities,May-October,5,Second tallest non-volcanic peak complex in Central Java; face-to-face with Sindoro; tobacco farm landscape; one of Java's toughest summit pushes,Medium,3-season tent; -5°C sleeping bag; trekking poles; windproof layers; gloves; headlamp,3-4,BASARNAS Magelang/Wonosobo,Falls on steep summit section; hypothermia; exhaustion from elevation gain,Unknown,Medium,2024
sindoro,Sindoro,Central Java,Temanggung / Wonosobo,3153,Kledung Pass / Tambi Tea Plantation / Sigedang,Kledung: from Temanggung via Kledung pass (1.5h); Tambi: from Wonosobo (1h),Unknown,Unknown,Unknown,Unknown,~7 (via Kledung),~14,7-9,4-6,4,Kledung>Pos 1: ~2km/1.5h; Pos 1>Pos 2: ~2km/1.5h; Pos 2>Pos 3: ~1.5km/1.5h; Pos 3>Summit: ~1.5km/2h,Kledung(~1400m)>Summit(3153m): ~1750m total,Tea plantation (lower); forest; sandy volcanic terrain (upper); exposed summit,Advanced,Medium,"Steep sandy terrain near summit (2 steps forward, 1 step back); cold; wind; fog",Sandy upper section: exhausting and slippery; summit: exposed to extreme wind,420,8-9,Car; or train to Semarang + car,Basecamp registration (offline),Yes (Perhutani),open,10000-15000 (estimate),Springs at lower pos; carry all water for upper sections,Pos 2-3 area; summit is too exposed,None,Intermittent at lower elevation; none above Pos 2,Kledung basecamp area; none on trail,Moderate,Sandy trail erosion; agricultural expansion; wind-damaged vegetation,Unknown,Medium,Sandy trail stabilization; forest corridor protection between Sindoro-Sumbing,May-October,4,Twin with Sumbing across Kledung pass; tea plantation scenery; challenging sandy summit approach; panoramic Central Java view,Medium,3-season tent; 0°C sleeping bag; trekking poles; windproof jacket; gaiters (sand); headlamp,3-4,BASARNAS Temanggung,Falls on sandy slope; exhaustion; hypothermia,Unknown,Medium,2024
slamet,Slamet,Central Java,Purbalingga / Pemalang / Tegal / Banyumas,3428,Bambangan (Purbalingga) / Guci (Tegal) / Kaliwadas (Banyumas),Bambangan: from Purbalingga (2h drive + ojek); Guci: from Tegal (1.5h),Unknown,Unknown,Unknown,Unknown,~14 (via Bambangan),~28,10-14 (2 days recommended),7-10,5,Bambangan>Pos 1: ~3km/1.5h; Pos 1>Pos 2: ~2.5km/2h; Pos 2>Pos 3: ~3km/2.5h; Pos 3>Pos 4 (Samarantu): ~2.5km/2h; Pos 4>Summit: ~3km/3h,Bambangan(~1200m)>Summit(3428m): ~2228m total,Dense tropical forest (lower); alpine forest; volcanic sand and rock (upper); crater area,Advanced,High,Active volcano (occasional phreatic eruptions); altitude sickness; extreme cold; long exposed summit area; toxic gas near crater; volcanic bombs,Above Pos 4 (Samarantu): active volcanic zone; gas pockets near crater; loose rocky terrain,450,9-10,Car; or train to Purwokerto + car,Basecamp registration; check PVMBG status,Conditional — closures during elevated alert; Perhutani permit,conditional,Unknown,Springs at Pos 1-2; Samarantu spring (Pos 4); none above,Pos 2-3; Samarantu (Pos 4),None,Intermittent at lower pos; none above Pos 3,Bambangan basecamp only,"Good (remote, limited human impact)",Volcanic hazard management; illegal wood collection; trail damage from eruptions,Unknown,High,Volcano monitoring support; forest protection; community disaster preparedness; endemic species survey (high biodiversity),May-October (check PVMBG: Level I only),4,Tallest mountain in Central Java; isolated and remote feel; pristine forest ecosystem; 4 major access routes; active crater experience,Low,4-season tent; -5°C sleeping bag; gas mask; trekking poles; 2 days food; rain gear; headlamp,4-5,PVMBG Slamet observation post; BASARNAS Purbalingga,Altitude sickness; hypothermia; gas inhalation; falls on volcanic terrain; exhaustion,Unknown,Medium,2024
prau,Prau,Central Java,Wonosobo / Batang,2590,Dieng (Patak Banteng) / Kali Lembu / Igirmranak,Patak Banteng: from Wonosobo via Dieng plateau (1.5h); well-paved road,Unknown,Unknown,Unknown,Unknown,~5 (via Patak Banteng),~10,3-4,2-3,3,Patak Banteng>Pos 1: ~1.5km/1h; Pos 1>Pos 2: ~1.5km/1h; Pos 2>Summit: ~2km/1.5h,Patak Banteng(~1800m)>Summit(2590m): ~790m total,Potato/vegetable farms (lower); open grassland; flat summit meadow,Beginner,Low,Cold at night (can reach 0°C); wind exposure on open meadow; fog; sun exposure,None significant — gentle terrain,430,8-9,Car to Wonosobo; angkot/ojek to Dieng; or car all the way,Gate registration at Patak Banteng (offline),No (entry fee at gate),open,"15000-20000 (estimate, 2024)",Carry your own; purchase in Dieng before hiking,Summit meadow (very popular; capacity 100+ tents),None,Telkomsel available throughout (close to Dieng area),Dieng village; warung near basecamp,Moderate,Overcrowding on weekends/holidays; trash at summit camping area; human waste problem; agricultural chemical runoff from farms below,Unknown,High,Summit waste management; portable toilet initiative; visitor quota system; farmland-forest buffer restoration,Year-round (best May-October; popular for New Year sunrise),5,Best sunrise spot in Central Java (golden hour over sea of clouds); flat summit meadow perfect for camping; Dieng Plateau cultural complex nearby; beginner-friendly,High,Tent; 0°C sleeping bag; warm jacket; headlamp; mat; 2L water,2,Unknown,Hypothermia (underestimating cold); minor slips,Yes,High,2024
ungaran,Ungaran,Central Java,Semarang,2050,Basecamp Mawar / Medini / Promasan,From Semarang via Bandungan (1h); well-paved road,Unknown,Unknown,Unknown,Unknown,~4,~8,3-4,2-3,3,Basecamp>Pos 1: ~1.5km/1h; Pos 1>Pos 2: ~1.5km/1h; Pos 2>Summit: ~1km/1h,Basecamp(~1100m)>Summit(2050m): ~950m total,Pine plantation; mixed forest; some rocky sections,Beginner,Low,Slippery in wet season; fog at summit; some steep sections,None significant,350,6-7,Car/motorbike from Semarang,Basecamp registration (offline),No (entry fee at gate),open,5000-10000 (estimate),Springs at lower elevations; carry your own,Pos 2 area; summit clearing,None,Good (close to Semarang),Basecamp has warung,Moderate,Trash from weekend visitors; pine plantation monoculture (limited biodiversity),Unknown,Medium,Biodiversity restoration (native species planting); trail cleanup program; watershed protection,Year-round,3,Closest mountain to Semarang; beginner-friendly; pleasant pine forest atmosphere; accessible for day trip,Medium,Day pack; 1.5L water; comfortable shoes; rain jacket,1.5,Unknown,Minor slips; dehydration,Unknown,Medium,2024
andong,Andong,Central Java,Magelang / Salatiga,1726,Basecamp Pendem / Sawit,From Magelang via Grabag (1h); or from Ambarawa (45 min),Unknown,Unknown,Unknown,Unknown,~3.5,~7,2-3,1.5-2,3,Basecamp>Pos 1: ~1km/40min; Pos 1>Pos 2: ~1.2km/45min; Pos 2>Summit: ~1.3km/50min,Basecamp(~900m)>Summit(1726m): ~826m total,Pine forest; open grassland near summit,Beginner,Low,Slippery when wet; sun exposure on upper section; crowded weekends,None significant,370,7-8,Car/motorbike,Basecamp registration (offline),No (entry fee at gate),open,10000 (estimate),Carry your own,Summit area (open meadow),None,Good coverage,Basecamp warung; none on trail,Moderate,Overcrowding on weekends; trash at summit,Unknown,Medium,Waste management at summit; visitor education; grassland fire prevention,Year-round,4,"360° panorama of Merbabu, Merapi, Sumbing, Sindoro, Telomoyo from summit; very beginner-friendly; popular sunrise spot",High,Day pack; 1L water; comfortable shoes,1.5,Unknown,Minor slips; dehydration,Unknown,Medium,2024
telomoyo,Telomoyo,Central Java,Semarang / Ambarawa,1894,Basecamp Ngablak / Mendut,From Ambarawa via Ngablak (45 min); from Semarang (1.5h),Unknown,Unknown,Unknown,Unknown,~4,~8,2.5-3.5,1.5-2.5,3,Unknown,Unknown,Pine forest; open grassland,Beginner,Low,Slippery when wet; wind at summit,None significant,370,7-8,Car/motorbike,Basecamp registration (offline),No (entry fee at gate),open,5000-10000 (estimate),Carry your own,Near summit area,None,Good (close to Ambarawa),Basecamp area,Moderate,Trash from weekend visitors,Unknown,Low,Waste management; pine forest maintenance,Year-round,3,Central location between 5 major mountains; quiet alternative to Andong; easy access from Semarang,Low,Day pack; 1L water; comfortable shoes,1.5,Unknown,Minor slips,Unknown,Low,2024
sikunir,Sikunir (Dieng),Central Java,Wonosobo / Banjarnegara,2263,Sembungan Village (highest village in Java),From Wonosobo via Dieng plateau (1.5h); paved road to Sembungan,Unknown,Unknown,Unknown,Unknown,~1.5,~3,0.5-1,0.5,1,Sembungan>Summit viewpoint: ~1.5km/30-60min,Sembungan(~2100m)>Summit(2263m): ~163m,Farm path; open hillside; established viewpoint,Beginner,Low,Cold pre-dawn (0-5°C); slippery farm path; minimal lighting on pre-dawn approach,None significant,430,8-9,Car to Dieng/Sembungan,Gate at Sembungan village,No (entry fee at village gate),open,"10000-15000 (estimate, 2024)",Sembungan village; carry for the short hike,Not applicable (very short hike; stay in Dieng homestays),Sembungan village,Good (Dieng area),Sembungan village; warung at trailhead,Moderate,Overcrowding at sunrise; trash left at viewpoint; agricultural chemical use in surrounding potato farms,Unknown,Medium,Viewpoint waste management; sustainable agriculture promotion; Sembungan village community development,Year-round (arrive 4:30am for sunrise; clearest May-October),5,Called 'Negeri di Atas Awan' (Land Above the Clouds); arguably Java's best golden sunrise viewpoint; Sembungan is Java's highest village; combine with Dieng cultural tour,High,Warm jacket; headlamp; comfortable shoes; camera,0.5,Unknown,Slips on wet farm path; cold exposure (tourists underdressed),Yes,High,2024
gede,Gede,West Java,Cianjur / Bogor,2958,Cibodas Botanical Garden / Gunung Putri / Selabintana,Cibodas: from Bogor via Puncak (2h); from Jakarta (3-4h); well-paved,Unknown,Unknown,Unknown,Unknown,~9 (via Cibodas),~18,7-9,5-6,4 (via Cibodas),Cibodas>Air Terjun Cibeureum: ~2km/1h; Cibeureum>Kandang Badak: ~3km/2.5h; Kandang Badak>Surya Kencana: ~1.5km/1h; Surya Kencana>Summit: ~2.5km/2.5h,Cibodas(~1400m)>Summit(2958m): ~1558m total,Tropical rainforest; alpine edelweiss meadow (Surya Kencana); volcanic crater; hot springs,Intermediate,Medium,Cold at summit; fog; slippery trail in wet season; volcanic gas at crater; crowded on weekends — queue at summit,Volcanic crater area: sulfur gas pockets; Surya Kencana: protected edelweiss — do not pick,800,12+ (fly to Jakarta recommended),Car from Jakarta/Bogor; public angkot to Cibodas,Online via SIMAKSI (gedepangrango.org); quota limited (300/day),Yes (TN Gunung Gede Pangrango),open,"22000 weekday / 32000 weekend (domestic, 2024)",Springs along trail (Cibodas route well-watered); hot spring near Kandang Badak,Kandang Badak (popular); Surya Kencana meadow (permitted area only); Alun-alun Suryakencana,Shelter at Kandang Badak,Telkomsel at lower trail; none above Kandang Badak,Cibodas entrance has warung/toilet; composting toilet at Kandang Badak,Good (well-managed national park),Overcrowding (quota system helps); trail erosion on popular routes; litter despite park management,Yes — TN Gede Pangrango active conservation and research programs,High,Support park ranger programs; edelweiss habitat protection; trail maintenance volunteer program; biodiversity research funding,May-October (dry season; permits fill fast on holidays),4,Most accessible alpine experience from Jakarta; Surya Kencana edelweiss meadow; hot springs on trail; rich biodiversity (UNESCO Biosphere Reserve); combine with Pangrango traverse,High,3-season tent; sleeping bag; rain gear; trekking poles; headlamp,3,TN Gede Pangrango ranger post; BASARNAS Cianjur,Slips on wet trail; hypothermia; altitude sickness; gas inhalation at crater,Yes,High,2024
pangrango,Pangrango,West Java,Cianjur / Bogor,3019,Via Cibodas (same as Gede) / Selabintana (Sukabumi),Cibodas: from Bogor via Puncak (2h); traverse from Gede summit,Unknown,Unknown,Unknown,Unknown,~12 (via Cibodas + Gede summit traverse),~24 (full traverse),10-12 (Gede-Pangrango traverse),7-9,Gede pos + 2-3 pos to Pangrango from saddle,Gede Summit>Saddle>Pangrango Summit: ~3km/2-3h from Gede summit,Gede(2958m)>Saddle(~2700m)>Pangrango(3019m): -258m then +319m,Alpine ridge; dense moss forest; cloud forest,Intermediate,Medium,Dense fog on ridge (disorientation); wet slippery trail; cold; isolation once past Gede,"Saddle between Gede-Pangrango: easy to lose trail in fog; Pangrango summit area: thick moss forest, poor visibility",800,12+ (fly to Jakarta),Same as Gede — car from Jakarta/Bogor,Online via SIMAKSI (gedepangrango.org); same park as Gede,Yes (TN Gunung Gede Pangrango),open,Same as Gede (included in park ticket),Limited between Gede and Pangrango; carry from Kandang Badak,Saddle area between peaks (limited space),None between the peaks,None on the traverse,None between the peaks,Good (less visited than Gede side),Trail markers overgrown; limited documentation for Pangrango-specific section,Yes — part of TN Gede Pangrango conservation area,Medium,Trail marking improvement; moss forest research; cloud forest ecosystem protection,May-October,3,Higher than Gede but far less visited; pristine cloud/moss forest; true wilderness feel within 3h of Jakarta; combined Gede-Pangrango traverse is a classic multi-peak challenge,Low,Same as Gede plus GPS device; extra water; rain gear essential (cloud forest is perpetually wet),3-4,TN Gede Pangrango ranger post,Lost trail in fog; slips on wet moss; hypothermia,Unknown,Medium,2024
ciremai,Ciremai,West Java,Kuningan / Majalengka,3078,Palutungan (Kuningan) / Apuy (Majalengka) / Linggarjati,Palutungan: from Kuningan (1h); from Cirebon (2h),Unknown,Unknown,Unknown,Unknown,~9 (via Palutungan),~18,8-10,5-7,5,Palutungan>Pos 1: ~2km/1.5h; Pos 1>Pos 2: ~2km/1.5h; Pos 2>Pos 3: ~1.5km/1.5h; Pos 3>Pos 4: ~1.5km/1.5h; Pos 4>Summit: ~2km/2h,Palutungan(~1100m)>Summit(3078m): ~1978m total,Dense tropical forest; steep continuous ascent; crater rim,Advanced,Medium,Relentless elevation gain (monotonous steep ascent); cold; fog; dehydration; altitude sickness,Upper sections above Pos 4: steep and exposed; crater rim,500,9-10,Car to Kuningan; or train to Cirebon + car,Online via TN Gunung Ciremai; quota system,Yes (TN Gunung Ciremai),open,"18000 weekday / 28000 weekend (estimate, 2024)",Springs at Pos 1-2; carry all water above Pos 3,Pos 3-4; crater rim area,None,Intermittent at lower pos; none above Pos 3,Palutungan entrance; none on trail,"Good (national park, well-managed)",Trail erosion from heavy rain; trash at camping areas; altitude-related incidents,Yes — TN Ciremai conservation program,High,Trail erosion control; water source protection; endemic species conservation; community buffer zone management,May-October,4,Tallest mountain in West Java; conical stratovolcano shape visible from distance; manageable from Cirebon; Linggarjati historical site at base,Medium,3-season tent; 0°C sleeping bag; trekking poles; rain gear; 3L+ water; headlamp,4,TN Ciremai ranger post; BASARNAS Kuningan,Altitude sickness; dehydration; exhaustion; slips,Unknown,Medium,2024
papandayan,Papandayan,West Java,Garut,2665,Basecamp Papandayan (Camp David),From Garut (1h); from Bandung (3h); paved road to basecamp,Unknown,Unknown,Unknown,Unknown,~5,~10,3-4,2-3,3,Basecamp>Crater area (Hutan Mati): ~2km/1h; Crater>Pondok Salada: ~1.5km/1h; Pondok Salada>Summit: ~1.5km/1.5h,Basecamp(~1800m)>Summit(2665m): ~865m total,Dead forest (Hutan Mati); active fumarole field; grassland (Tegal Alun); volcanic terrain,Beginner,Medium,Active sulfur fumaroles (toxic gas); dead forest area (eerie but paths are clear); volcanic terrain can be unstable; cold at summit camp,Fumarole field (Kawah Papandayan): do not leave marked path; toxic gas concentration varies with wind,600,10+ (fly to Bandung recommended),Car from Garut or Bandung,Gate registration (offline),Yes (managed entry),open,"20000 (estimate, 2024)",Carry your own; purchase at basecamp,Pondok Salada (popular); Tegal Alun meadow (top camping spot),Shelter near fumarole area,Good at lower areas; intermittent near summit,Basecamp has warung and toilet; basic toilet near Pondok Salada,Moderate,Volcanic gas management; overcrowding at Tegal Alun on holidays; trash at camping areas,Natural regrowth monitoring post-eruption areas,High,Fumarole area safety infrastructure; Tegal Alun grassland protection; dead forest ecosystem education; camping waste management,Year-round (best May-October),4,Surreal dead forest landscape; active sulfur fumaroles; Tegal Alun edelweiss meadow for camping; one of the most photogenic mountains in West Java; beginner-accessible volcanic experience,High,Tent; sleeping bag; warm jacket; mask/bandana (fumarole area); comfortable shoes,2-3,Papandayan ranger post; BASARNAS Garut,Gas inhalation near fumaroles; slips on wet volcanic terrain; cold exposure,Yes,High,2024
salak,Salak,West Java,Bogor,2211,Cidahu / Cimelati / Curug Nangka,Cidahu: from Bogor via Sukabumi road (1.5h); Curug Nangka: from Bogor (1h),Unknown,Unknown,Unknown,Unknown,~7 (varies by route),~14,6-8,4-6,3-4,Unknown — multiple routes with varying conditions,Unknown,Dense primary rainforest; steep ravines; river crossings; rocky terrain,Intermediate,High,Dense forest with many trail bifurcations (NOTORIOUS for lost hikers); steep terrain; flash floods in ravines; limited GPS signal under canopy; multiple fatalities from disorientation,Entire trail: one of Java's most confusing trail systems; multiple unmarked forks; MANY search-and-rescue operations annually,850,12+ (fly to Jakarta),Car from Bogor/Jakarta,Basecamp registration; guide strongly recommended,Yes (Perhutani / Halimun-Salak national park),open,Unknown,Rivers and streams throughout (treat before drinking),Limited flat ground; some clearings at pos stations,None,Very limited — dense canopy blocks signal,Basecamp area only,Good (dense primary forest; high biodiversity),Frequent lost hiker incidents; trail markers easily missed; encroachment at forest edges,Yes — TN Gunung Halimun Salak conservation area,High,Trail marking and navigation improvement; SAR capacity building; forest edge protection; biodiversity research; community guide training program,May-September (avoid heavy rain — flash flood risk),2,Dense primary rainforest experience close to Jakarta; challenging navigation makes it a 'real' wilderness hike; high biodiversity; part of UNESCO biosphere reserve,Low,GPS device (mandatory); trekking poles; rain gear; machete; headlamp; whistle; bright-colored clothing for SAR visibility,3-4,BASARNAS Bogor; TN Halimun-Salak post,Lost/disorientation (primary risk); falls on steep terrain; flash flood exposure; dehydration,Unknown,Medium,2024
cikuray,Cikuray,West Java,Garut,2821,Basecamp Cikajang / Pemancar,From Garut via Cikajang (1.5h); from Bandung (3.5h),Unknown,Unknown,Unknown,Unknown,~7,~14,6-8,4-5,4,Unknown,Unknown,Tea plantation (lower); forest; open grassland near summit,Intermediate,Medium,Cold at summit; fog; steep sections; some trail erosion,Upper forest section: slippery and steep,600,10+,Car from Garut or Bandung,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Springs at lower pos; carry water for upper sections,Pos 3-4 area; summit area (limited),None,Intermittent,Basecamp area,Moderate,Trail erosion; trash; tea plantation chemical runoff,Unknown,Medium,Trail erosion control; tea plantation-forest buffer; waste management,May-October,4,Panoramic view of multiple West Java peaks; tea plantation landscape at start; challenging but rewarding intermediate climb,Medium,3-season tent; sleeping bag; trekking poles; rain gear; headlamp,3,BASARNAS Garut,Slips; hypothermia; exhaustion,Unknown,Low,2024
guntur,Guntur,West Java,Garut,2249,Citiis / Cipanas area,From Garut via Cipanas hot springs area (30 min),Unknown,Unknown,Unknown,Unknown,~5,~10,4-6,3-4,3,Unknown,Unknown,Forest; volcanic terrain; crater area,Intermediate,Medium,Active volcanic complex; sulfur gas; loose volcanic terrain; occasional phreatic eruptions,Crater area: volcanic gas; unstable terrain,580,10+,Car from Garut or Bandung,Unknown — check volcanic status first,Conditional — closures during elevated alert,conditional,Unknown,Carry your own,Unknown,None,Unknown,Cipanas area,Unknown,Volcanic hazard; limited documentation for hiking routes,Unknown,Low,Volcanic monitoring support; community disaster preparedness,Check PVMBG status; May-October if open,Unknown,Part of Garut volcanic complex with hot springs; combine with Cipanas thermal tourism; active volcanic landscape,Low,Gas mask; sturdy boots; check PVMBG alert level; headlamp,3,PVMBG Guntur monitoring post; BASARNAS Garut,Gas inhalation; falls on volcanic terrain,Unknown,Low,2024
burangrang,Burangrang,West Java,Bandung Barat / Lembang,2064,Legok Haji / Cikahuripan,From Bandung via Lembang (1h),Unknown,Unknown,Unknown,Unknown,~5,~10,4-5,3-4,3,Unknown,Unknown,Pine forest; some rocky sections,Intermediate,Low,Slippery trail; dense fog; some steep sections,None significant,700,10+ (fly to Bandung),Car from Bandung/Lembang,Basecamp registration (offline),Yes (Perhutani),open,Unknown,Carry your own,Near summit area,None,Good (close to Lembang/Bandung),Basecamp area,Moderate,Trash from weekend visitors; trail erosion,Unknown,Low,Trail maintenance; waste management,Year-round,3,Part of Tangkuban Perahu volcanic complex; view of Bandung basin; accessible day hike from Bandung,Medium,Day pack; 1.5L water; comfortable shoes; rain jacket,2,Unknown,Minor slips,Unknown,Low,2024
kerinci,Kerinci,Jambi / West Sumatra,Sungai Penuh / Kersik Tuo,3805,Kersik Tuo village,Fly to Jambi then 8h drive; or fly to Padang then 7h drive; to Kersik Tuo village (road access good),Unknown,Unknown,Unknown,Unknown,~11,~22,10-14 (2-3 days recommended),7-9,"3 (Shelter 1, 2, 3)",Kersik Tuo>Shelter 1: ~3.5km/2.5h; Shelter 1>Shelter 2: ~3km/2.5h; Shelter 2>Shelter 3: ~2.5km/2.5h; Shelter 3>Summit: ~2km/3h,Kersik Tuo(~1500m)>Summit(3805m): ~2305m total,Dense tropical rainforest; cloud forest; alpine scrub; volcanic sand/scree near summit,Advanced,High,Highest volcano in Sumatra (altitude sickness); active volcanic activity; extreme cold at summit (-10°C possible); dense forest (lost trail risk); leeches in lower forest; tiger territory (TN Kerinci Seblat),Summit push from Shelter 3: steep volcanic sand; volcanic gas at summit crater,1200+ (fly recommended),Fly: 3-4h; then 7-8h drive,Fly to Jambi/Padang; rent car to Kersik Tuo; local guide recommended,TN Kerinci Seblat registration; hire local guide (recommended),Yes (TN Kerinci Seblat),open,Unknown,Stream near Shelter 1; carry all water above,Shelter 1 (basic hut); Shelter 2; Shelter 3 (last camp before summit push),Basic shelters at each camp (huts),None on trail,Kersik Tuo village only,"Good (remote, protected national park — UNESCO World Heritage)",Illegal encroachment at forest edges; human-wildlife conflict (Sumatran tiger territory); limited trail maintenance,Yes — TN Kerinci Seblat conservation (UNESCO World Heritage site),High,Sumatran tiger corridor protection; anti-encroachment; local guide program development; trail maintenance; leech-proof trail improvement,June-September (driest; avoid Dec-Feb monsoon),5,Highest peak in Sumatra; highest volcano in Indonesia outside Papua; UNESCO World Heritage forest; Sumatran tiger habitat; remote expedition-grade experience,Low,4-season tent; -10°C sleeping bag; gaiters (leeches); trekking poles; 3 days food; rain gear; GPS device; local guide,5-6,TN Kerinci Seblat office; BASARNAS Jambi,Altitude sickness; hypothermia; lost trail; leech bites (not dangerous but uncomfortable); falls on summit scree,Unknown,Medium,2024
